puzzleId,datasetMove,gpt0-move,gpt0-valid,gpt0-done,gpt1-move,gpt1-valid,gpt1-done,gpt2-move,gpt2-valid,gpt2-done,gpt-results
001gi,a5c3,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
001wb,g6h5,e8g8,True,False,e8g8,True,False,e8g8,True,False,False False False
002CP,g6c2,g6h8,False,False,g6h8,False,False,g6h8,False,False,False False False
003IX,e4g3,g4g8,True,False,g4g8,True,False,g4g8,True,False,False False False
004iZ,g3g7,d4g7,True,False,d4g7,True,False,d4g7,True,False,False False False
004zI,h6h8,h6h8,True,True,h6h8,True,True,h6h8,True,True,True True True
008Nz,d1d8,d1d8,True,True,d1d8,True,True,d1d8,True,True,True True True
008o6,a8f8,a8f8,True,True,a8f8,True,True,a8f8,True,True,True True True
009L0,c1d1,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00B2k,h4f2,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00Bm8,g6g2,g6h8,False,False,g6h8,False,False,g6h8,False,False,False False False
00C7m,b4h4,f7f8,True,False,f7f8,True,False,f7f8,True,False,False False False
00DPQ,g3h2,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
00FHX,c1c8,g1h2,True,False,g1h2,True,False,g1h2,True,False,False False False
00G0z,f4h2,d7e8,True,False,d7e8,True,False,d7e8,True,False,False False False
00GRa,e4h7,e4h7,True,True,e4h7,True,True,e4h7,True,True,True True True
00H1C,a5c7,d7d8,True,False,d7d8,True,False,d7d8,True,False,False False False
00H9n,h3g2,h3h1,True,False,h3h1,True,False,h3h1,True,False,False False False
00HHN,e8e1,e8g8,True,False,e8g8,True,False,e8g8,True,False,False False False
00HPz,c6c5,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00HoG,g6h7,g6g8,True,False,g6g8,True,False,g6g8,True,False,False False False
00Hxb,e1e8,c6e8,True,False,c6e8,True,False,c6e8,True,False,False False False
00IPp,e3f3,e3g5,True,False,e3g5,True,False,e3g5,True,False,False False False
00ITc,d4g7,d4d8,True,False,d4d8,True,False,d4d8,True,False,False False False
00IaZ,e8b8,e8h8,True,False,e8h8,True,False,e8h8,True,False,False False False
00J7i,b7g7,b7c8,True,False,b7c8,True,False,b7c8,True,False,False False False
00JO7,h7h8,h7h8,True,True,h7h8,True,True,h7h8,True,True,True True True
00KYE,d6h2,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
00MYL,f7b7,b8h8,True,False,b8h8,True,False,b8h8,True,False,False False False
00OPk,d6f7,d6e8,True,False,d6e8,True,False,d6e8,True,False,False False False
00OXc,f3h3,f3f1,True,False,f3f1,True,False,f3f1,True,False,False False False
00Or5,b3f7,e5f7,True,False,e5f7,True,False,e5f7,True,False,False False False
00Ozz,e1e8,f7g8,True,False,f7g8,True,False,f7g8,True,False,False False False
00P7n,g4g7,e7e8,True,False,e7e8,True,False,e7e8,True,False,False False False
00QY3,h3f1,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00QZV,f5f1,c6b8,True,False,c6b8,True,False,c6b8,True,False,False False False
00RoG,g4g1,d8f8,True,False,d8f8,True,False,d8f8,True,False,False False False
00SMl,d5f6,d5e7,True,True,d5e7,True,True,d5e7,True,True,True True True
00SOy,h4h1,h4h1,True,True,h4h1,True,True,h4h1,True,True,True True True
00STy,b7b6,h7h8,True,False,h7h8,True,False,h7h8,True,False,False False False
00SeK,d4g7,d4h8,True,False,d4h8,True,False,d4h8,True,False,False False False
00SfT,h5h7,h5h8,True,False,h5h8,True,False,h5h8,True,False,False False False
00T85,f2d2,f2f8,True,False,f2f8,True,False,f2f8,True,False,False False False
00VIe,a2d2,h5h4,True,False,h5h4,True,False,h5h4,True,False,False False False
00ViT,g7g5,d5a8,True,False,d5a8,True,False,d5a8,True,False,False False False
00X1l,f1f8,a7b8,True,False,a7b8,True,False,a7b8,True,False,False False False
00X2S,a5c7,e5h8,True,False,e5h8,True,False,e5h8,True,False,False False False
00Xfn,h1h8,d4h8,True,False,d4h8,True,False,d4h8,True,False,False False False
00Xiu,h4e1,h4d8,True,False,h4d8,True,False,h4d8,True,False,False False False
00Zh6,e4f6,e5f7,True,False,e5f7,True,False,e5f7,True,False,False False False
