puzzleId,datasetMove,gpt0-move,gpt1-move,gpt2-move,gpt-valids,gpt-results
040x1,h4d8,,h4h8,h4h8,False True True,False False False
0N6mX,f4h6,f6g8,f6e8,f6h7,True True True,False False False
0KDAM,f6h8,,g6h8,g6e7,False True True,False False False
0VhtY,e7e3,g8h8,,,True False False,False False False
0CDws,f7f4,f7f8,,f7f8,True False True,False False False
07D6Y,d1h5,d1h5,g8h8,d1h5,True True True,True False True
0884u,c5f8,,,g5h7,False False True,False False False
076nr,h4f2,h4h3,h4d8,g8h6,True True True,False False False
0JTjq,g4g5,c5f8,,c5f8,True False True,False False False
0FcsQ,c1e1,d8e8,,d8f8,True False True,False False False
0UExY,b8g8,b8g8,b8h8,b8h8,True True True,True False False
0R0hX,h6f7,,,,False False False,False False False
0XFYj,d8d1,,d8h8,,False True False,False False False
0Rb46,e6e4,,d8h8,d8h8,False True True,False False False
03pZy,h3h7,e5f7,d3h7,,True True False,False False False
0GVJY,c1g1,c1c6,f8h8,c1c8,True False True,False False False
08gHY,a5e1,,d5a8,,False True False,False False False
0ReXO,e2e1,,,e2e8,False False True,False False False
0T6As,e7d6,e7f8,e7f8,e7f8,True True True,False False False
0N2Fu,c3b2,c3f6,b8c6,f8c8,True True True,False False False
0HLTw,f4f5,f4f8,,f4f8,True False True,False False False
0WDC1,f8f1,f8f7,f8f7,f8f7,True True True,False False False
0LGf4,e2d1,c6e5,,g8h8,True False True,False False False
06EU4,a3a6,,,c6d8,False False True,False False False
08dbu,c6g2,f6h5,f8d8,,True True False,False False False
08d4y,b2e2,h5g4,h5d1,g6g5,True True True,False False False
0FimY,e2f1q,,g8h8,g8h8,False True True,False False False
0D9Gr,g3g7,f4h6,,,True False False,False False False
0WhEZ,d5c6,g5h6,,g5h6,True False True,False False False
0Efwt,c5c8,,e5h8,e5h8,False True True,False False False
0InOi,d1d6,,,f7g8,False False True,False False False
05hfp,g4f2,g4h2,g4h6,,True True False,False False False
0WuNE,c6e6,c6e8,,c6e8,True False True,False False False
00Ozz,e1e8,f7g8,,f7g8,True False True,False False False
087QQ,f3d3,f3h5,e4e3,e8f8,True True True,False False False
0Vha7,e4d6,b5c6,,b5c6,True False True,False False False
0EkWm,d2h2,f8d7,h7h8,h4h2,True True True,False False True
0PsVA,c1h1,,h7g7,e5h8,False True True,False False False
0NpI9,h6g7,,h6h8,h6h8,False True True,False False False
0Y8FO,g2g3,e3h6,e3a7,e3h6,True True True,False False False
06qEz,d3d8,,d3d8,b5c7,False True True,False True False
0LQjN,b8b5,,c1f4,c3d5,False True True,False False False
00ns1,f4f1,g8h8,f8g8,f8e8,True False True,False False False
05cho,g3g7,f6h8,f6d8,f6h8,True True True,False False False
00n6z,h8h4,,h8g7,h8g8,False True True,False False False
0EK6e,e2e6,f6f7,,f6f7,True False True,False False False
07cjT,b5e2,b5b4,g8h8,g8h8,True True True,False False False
0GkCQ,e5g5,f6g7,,f6g7,True False True,False False False
0JKDh,d7b5,,,d7e8,False False True,False False False
0Dyx2,e8h8,e8f8,,,True False False,False False False
