puzzleId,datasetMove,gpt0-move,gpt1-move,gpt2-move,gpt-valids,gpt-results
040x1,h4d8,h5h7,h5h7,h5h7,False False False,False False False
0N6mX,f4h6,f6g8,f6g8,f6g8,True True True,False False False
0KDAM,f6h8,g7g8,g7g8,g7g8,False False False,False False False
0VhtY,e7e3,f8g7,f8g7,f8g7,False False False,False False False
0CDws,f7f4,f7f8,f7f8,f7f8,True True True,False False False
07D6Y,d1h5,d2d8,d2d8,d2d8,False False False,False False False
0884u,c5f8,g5f7,g5f7,g5f7,True True True,False False False
076nr,h4f2,f2f4,f2f4,f2f4,False False False,False False False
0JTjq,g4g5,g5g6,g5g6,g5g6,False False False,False False False
0FcsQ,c1e1,d2d1,d2d1,d2d1,False False False,False False False
0UExY,b8g8,g5g7,g5g7,g5g7,False False False,False False False
0R0hX,h6f7,g5f7,g5f7,g5f7,False False False,False False False
0XFYj,d8d1,b2b1,b2b1,b2b1,False False False,False False False
0Rb46,e6e4,f4f3,f4f3,f4f3,False False False,False False False
03pZy,h3h7,g5h7,g5h7,g5h7,False False False,False False False
0GVJY,c1g1,g7g6,g7g6,g7g6,True True True,False False False
08gHY,a5e1,d5d1,d5d1,d5d1,False False False,False False False
0ReXO,e2e1,e2e1,e2e1,e2e1,True True True,True True True
0T6As,e7d6,g5g7,g5g7,g5g7,False False False,False False False
0N2Fu,c3b2,f8g8,f8g8,f8g8,False False False,False False False
0HLTw,f4f5,f3g4,f3g4,f3g4,False False False,False False False
0WDC1,f8f1,f8g8,f8g8,f8g8,False False False,False False False
0LGf4,e2d1,d8h4,d8h4,d8h4,False False False,False False False
06EU4,a3a6,a7a8,a7a8,a7a8,False False False,False False False
08dbu,c6g2,f6g4,f6g4,f6g4,True True True,False False False
08d4y,b2e2,b2b1,b2b1,b2b1,True True True,False False False
0FimY,e2f1q,d2d1,d2d1,d2d1,False False False,False False False
0D9Gr,g3g7,h6h8,h6h8,h6h8,False False False,False False False
0WhEZ,d5c6,g5h6,g5h6,h7h8,True True False,False False False
0Efwt,c5c8,e5f6,e5f6,e5f6,True True True,False False False
0InOi,d1d6,e7e8,e7e8,e7e8,False False False,False False False
05hfp,g4f2,g4h3,g4h3,g4h3,False False False,False False False
0WuNE,c6e6,g5h5,g5h5,g5h5,False False False,False False False
00Ozz,e1e8,e7e8,e7e8,e7e8,False False False,False False False
087QQ,f3d3,f2f1,f2f1,f2f1,False False False,False False False
0Vha7,e4d6,f3f7,f3f7,f3f7,False False False,False False False
0EkWm,d2h2,h2h1,h2h1,h2h1,False False False,False False False
0PsVA,c1h1,c2c1,c2c1,c2c1,False False False,False False False
0NpI9,h6g7,g7g8,g7g8,g7g8,False False False,False False False
0Y8FO,g2g3,f1h3,f1h3,f1h3,False False False,False False False
06qEz,d3d8,b7b8,b7b8,b7b8,False False False,False False False
0LQjN,b8b5,h8h7,h8h7,e7e8,False False False,False False False
00ns1,f4f1,f5g5,f5g5,f5g5,False False False,False False False
05cho,g3g7,g5h6,g5h6,g5h6,False False False,False False False
00n6z,h8h4,f8g8,f8g8,f8g8,False False False,False False False
0EK6e,e2e6,d1h1,d1h1,d1h1,False False False,False False False
07cjT,b5e2,h6g4,h6g4,h6g4,False False False,False False False
0GkCQ,e5g5,f5h7,f5h7,f5h7,False False False,False False False
0JKDh,d7b5,h2h1,h2h1,h2h1,False False False,False False False
0Dyx2,e8h8,g7g1,g7g1,g7g1,True True True,False False False

# Quitado de contexto lo de valid moves y history (en system y query)
# Vemos que ya no d casi movimientos validos.
