puzzleId,datasetMove,gpt0-move,gpt0-valid,gpt0-done,gpt1-move,gpt1-valid,gpt1-done,gpt2-move,gpt2-valid,gpt2-done,gpt-results
[001gi]: ['001gi', 'a5c3', 'g4e2', True, False, 'g4d1', True, False, 'c6d4', True, False, 'False False False']
[001wb]: ['001wb', 'g6h5', 'g6d3', True, False, 'b7c8', True, False, 'b7c8', True, False, 'False False False']
[002CP]: ['002CP', 'g6c2', 'g6c2', True, True, 'g6c2', True, True, 'g6c2', True, True, 'True True True']
[003IX]: ['003IX', 'e4g3', 'e4f2', True, False, 'e4f2', True, False, 'e4f6', True, False, 'False False False']
[004iZ]: ['004iZ', 'g3g7', 'g3g7', True, True, 'g3g7', True, True, 'g3g7', True, True, 'True True True']
[004zI]: ['004zI', 'h6h8', 'h6h8', True, True, 'h6h8', True, True, 'h6h8', True, True, 'True True True']
[008Nz]: ['008Nz', 'd1d8', 'd1d8', True, True, 'd1d8', True, True, 'd1d8', True, True, 'True True True']
[008o6]: ['008o6', 'a8f8', 'a8f8', True, True, 'a8f3', True, False, 'a8f8', True, True, 'True False True']
[009L0]: ['009L0', 'c1d1', 'g8h8', True, False, 'g8h8', True, False, 'g8h8', True, False, 'False False False']
[00B2k]: ['00B2k', 'h4f2', 'h4f2', True, True, 'h4f2', True, True, 'h4f2', True, True, 'True True True']
[00Bm8]: ['00Bm8', 'g6g2', 'g6g2', True, True, 'g6g2', True, True, 'g6g2', True, True, 'True True True']
[00C7m]: ['00C7m', 'b4h4', 'f7f8', True, False, 'b4b6', True, False, 'f7f8', True, False, 'False False False']
[00DPQ]: ['00DPQ', 'g3h2', 'g3h2', True, True, 'g3h2', True, True, 'g3h2', True, True, 'True True True']
[00FHX]: ['00FHX', 'c1c8', 'c1c8', True, True, 'c1c8', True, True, 'c1c8', True, True, 'True True True']
[00G0z]: ['00G0z', 'f4h2', 'f4h2', True, True, 'f4f2', True, False, 'd3f2', True, False, 'True False False']
[00GRa]: ['00GRa', 'e4h7', 'e4h7', True, True, 'e4h7', True, True, 'e4h7', True, True, 'True True True']
[00H1C]: ['00H1C', 'a5c7', 'd7c7', True, False, 'a5c7', True, True, 'a5c7', True, True, 'False True True']
[00H9n]: ['00H9n', 'h3g2', 'h3h2', True, False, 'h3h1', True, False, 'h3h2', True, False, 'False False False']
[00HHN]: ['00HHN', 'e8e1', 'a2e2', True, False, 'e8g8', True, False, 'e8g8', True, False, 'False False False']
[00HPz]: ['00HPz', 'c6c5', 'e4c2', True, False, 'e4c2', True, False, 'e4c2', True, False, 'False False False']
[00HoG]: ['00HoG', 'g6h7', 'g6g8', True, False, 'g6h7', True, True, 'g6h7', True, True, 'False True True']
[00Hxb]: ['00Hxb', 'e1e8', 'c6e8', True, False, 'c6e8', True, False, 'c6e8', True, False, 'False False False']
[00IPp]: ['00IPp', 'e3f3', 'e3g1', True, False, 'e3g1', True, False, 'e3g5', True, False, 'False False False']
[00ITc]: ['00ITc', 'd4g7', 'd4g7', True, True, 'd4g7', True, True, 'd4g7', True, True, 'True True True']
[00IaZ]: ['00IaZ', 'e8b8', 'e8b8', True, True, 'e8b8', True, True, 'd6d7', True, False, 'True True False']
[00J7i]: ['00J7i', 'b7g7', 'b7c8', True, False, 'b7c8', True, False, 'b7a8', True, False, 'False False False']
