puzzleId,datasetMove,gpt0-move,gpt0-valid,gpt0-done,gpt1-move,gpt1-valid,gpt1-done,gpt2-move,gpt2-valid,gpt2-done,gpt-results
001gi,a5c3,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
001wb,g6h5,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
002CP,g6c2,g6f7,True,False,g6f7,True,False,g6f7,True,False,False False False
003IX,e4g3,e7f8,True,False,e7f8,True,False,e7f8,True,False,False False False
004iZ,g3g7,d4g7,True,False,d4g7,True,False,d4g7,True,False,False False False
004zI,h6h8,h6h8,True,True,h6h8,True,True,h6h8,True,True,True True True
008Nz,d1d8,d1d8,True,True,d1d8,True,True,d1d8,True,True,True True True
008o6,a8f8,a8f8,True,True,a8f8,True,True,a8f8,True,True,True True True
009L0,c1d1,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00B2k,h4f2,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00Bm8,g6g2,g6h8,False,False,g6h8,False,False,g6h8,False,False,False False False
00C7m,b4h4,f7f8,True,False,f7f8,True,False,f7f8,True,False,False False False
00DPQ,g3h2,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
00FHX,c1c8,c1c8,True,True,c1c8,True,True,c1c8,True,True,True True True
00G0z,f4h2,d7e8,True,False,d7e8,True,False,d7e8,True,False,False False False
00GRa,e4h7,e4f3,True,False,e4f3,True,False,e4f3,True,False,False False False
00H1C,a5c7,d7d8,True,False,d7d8,True,False,d7d8,True,False,False False False
00H9n,h3g2,h3h1,True,False,h3h1,True,False,h3h1,True,False,False False False
00HHN,e8e1,e8g8,True,False,e8g8,True,False,e8g8,True,False,False False False
00HPz,c6c5,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00HoG,g6h7,g6g8,True,False,g6g8,True,False,g6g8,True,False,False False False
00Hxb,e1e8,c6e8,True,False,c6e8,True,False,c6e8,True,False,False False False
00IPp,e3f3,e3g5,True,False,e3g5,True,False,e3g5,True,False,False False False
00ITc,d4g7,d4d8,True,False,d4d8,True,False,d4d8,True,False,False False False
00IaZ,e8b8,e8h8,True,False,e8h8,True,False,e8h8,True,False,False False False
00J7i,b7g7,c3d2,True,False,c3d2,True,False,c3d2,True,False,False False False
