puzzleId,datasetMove,gpt0-move,gpt0-valid,gpt0-done,gpt1-move,gpt1-valid,gpt1-done,gpt2-move,gpt2-valid,gpt2-done,gpt-results
001gi,a5c3,a5c3,True,True,g4e2,True,False,g4e2,True,False,True False False
001wb,g6h5,b7c6,True,False,g6d3,True,False,g6d3,True,False,False False False
002CP,g6c2,g6c2,True,True,g6c2,True,True,g6c2,True,True,True True True
003IX,e4g3,e4f2,True,False,e4f2,True,False,e4f2,True,False,False False False
004iZ,g3g7,g3g7,True,True,g3g7,True,True,g3g7,True,True,True True True
004zI,h6h8,h6h8,True,True,h6h8,True,True,h6h8,True,True,True True True
008Nz,d1d8,d1d8,True,True,d1d8,True,True,d1d8,True,True,True True True
008o6,a8f8,a8f8,True,True,a8f8,True,True,a8f8,True,True,True True True
009L0,c1d1,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00B2k,h4f2,h4f2,True,True,h4f2,True,True,h4f2,True,True,True True True
00Bm8,g6g2,g6g2,True,True,g6g2,True,True,g6g2,True,True,True True True
00C7m,b4h4,f7f8,True,False,b4b6,True,False,f7f8,True,False,False False False
00DPQ,g3h2,g3h2,True,True,g3h2,True,True,g3h2,True,True,True True True
00FHX,c1c8,c1c8,True,True,c1c8,True,True,c1c8,True,True,True True True
00G0z,f4h2,f4h2,True,True,f4h2,True,True,f4h2,True,True,True True True
00GRa,e4h7,e4h7,True,True,e4h7,True,True,e4h7,True,True,True True True
00H1C,a5c7,d7c7,True,False,d7c7,True,False,d7c7,True,False,False False False
00H9n,h3g2,h3g2,True,True,h3g2,True,True,h3g2,True,True,True True True
00HHN,e8e1,e8g8,True,False,a2a1,True,False,a2a1,True,False,False False False
00HPz,c6c5,e4c2,True,False,e4c2,True,False,e4c2,True,False,False False False
00HoG,g6h7,g6h7,True,True,g6h7,True,True,g6h7,True,True,True True True
00Hxb,e1e8,c6e8,True,False,c6e8,True,False,c6e8,True,False,False False False
00IPp,e3f3,e3g1,True,False,e3g1,True,False,e3g1,True,False,False False False
00ITc,d4g7,d4g7,True,True,d4g7,True,True,d4g7,True,True,True True True
00IaZ,e8b8,e7b7,True,False,e7b7,True,False,e7b7,True,False,False False False
00J7i,b7g7,b7b8,True,False,b7b8,True,False,b7c8,True,False,False False False
00JO7,h7h8,h3h6,True,False,h3h6,True,False,h3h6,True,False,False False False
00KYE,d6h2,d6h2,True,True,d6h2,True,True,d6h2,True,True,True True True
00MYL,f7b7,f7c7,True,False,f7c7,True,False,f7c7,True,False,False False False
00OPk,d6f7,d6e8,True,False,d6e8,True,False,d6e8,True,False,False False False
00OXc,f3h3,f7g8,True,False,f7g8,True,False,f7g8,True,False,False False False
00Or5,b3f7,b3f7,True,True,b3f7,True,True,b3f7,True,True,True True True
00Ozz,e1e8,f7e8,True,False,e1e8,True,True,e1e8,True,True,False True True
00P7n,g4g7,e7g7,True,False,e7g7,True,False,e7g7,True,False,False False False
00QY3,h3f1,h3h2,True,False,h3h2,True,False,h3h2,True,False,False False False
00QZV,f5f1,f5f1,True,True,f5f1,True,True,f5f1,True,True,True True True
00RoG,g4g1,g4g2,True,False,g4g2,True,False,g4g2,True,False,False False False
00SMl,d5f6,h1h8,True,False,d5e7,True,True,d5e7,True,True,False True True
00SOy,h4h1,h4h2,True,False,h4h2,True,False,h4h2,True,False,False False False
00STy,b7b6,b7b6,True,True,b7b6,True,True,b7b6,True,True,True True True
00SeK,d4g7,d4f6,True,False,d4f6,True,False,d4h8,True,False,False False False
00SfT,h5h7,h5h8,True,False,h5h8,True,False,h5h8,True,False,False False False
00T85,f2d2,f2c2,True,False,f2c2,True,False,f2c2,True,False,False False False
00VIe,a2d2,e3f4,True,False,e3f2,True,False,e3f2,True,False,False False False
00ViT,g7g5,d5f3,True,False,d5f3,True,False,d5f3,True,False,False False False
00X1l,f1f8,a7b8,True,False,a7b8,True,False,f1f8,True,True,False False True
00X2S,a5c7,e5c7,True,False,a5c7,True,True,e5c7,True,False,False True False
00Xfn,h1h8,g6f7,True,False,g6f7,True,False,g6f7,True,False,False False False
00Xiu,h4e1,h4g5,True,False,h4g5,True,False,h4g5,True,False,False False False
00Zh6,e4f6,d2h6,True,False,e5f7,True,False,d2h6,True,False,False False False
