puzzleId,datasetMove,gpt0-move,gpt1-move,gpt2-move,gpt-valids,gpt-results
040x1,h4d8,h4h8,h4h8,h4h8,True True True,False False False
0N6mX,f4h6,f6g8,f6g8,,True True False,False False False
0KDAM,f6h8,g6h8,g6h8,g6h8,True True True,False False False
0VhtY,e7e3,g8h8,g8h8,g8h8,True True True,False False False
0CDws,f7f4,f7f8,f7f8,f7f8,True True True,False False False
07D6Y,d1h5,d1h5,d1h5,d1h5,True True True,True True True
0884u,c5f8,g5h7,g5h7,g5h7,True True True,False False False
076nr,h4f2,h4h5,h4h5,h4h5,True True True,False False False
0JTjq,g4g5,c5f8,c5f8,c5f8,True True True,False False False
0FcsQ,c1e1,d8e8,d8e8,d8e8,True True True,False False False
0UExY,b8g8,b8h8,b8h8,b8h8,True True True,False False False
0R0hX,h6f7,h6g8,h6g8,h6g8,True True True,False False False
0XFYj,d8d1,d8h8,d8h8,d8h8,True True True,False False False
0Rb46,e6e4,d8h8,d8h8,d8h8,True True True,False False False
03pZy,h3h7,e5f7,e5f7,e5f7,True True True,False False False
0GVJY,c1g1,f8h8,f8h8,f8h8,False False False,False False False
08gHY,a5e1,d5a8,d5a8,d5a8,True True True,False False False
0ReXO,e2e1,e2e1,e2e1,e2e1,True True True,True True True
0T6As,e7d6,e7f8,e7f8,e7f8,True True True,False False False
0N2Fu,c3b2,f8e8,f8e8,f8e8,True True True,False False False
0HLTw,f4f5,f4f8,f4f8,f4f8,True True True,False False False
0WDC1,f8f1,f8f7,f8f7,f8f7,True True True,False False False
0LGf4,e2d1,g8h8,g8h8,g8h8,True True True,False False False
06EU4,a3a6,c6d8,c6d8,c6d8,True True True,False False False
08dbu,c6g2,f6h5,f6h5,f6h5,True True True,False False False
08d4y,b2e2,c6d5,h5d1,c6d5,True True True,False False False
0FimY,e2f1q,g8h8,g8h8,g8h8,True True True,False False False
0D9Gr,g3g7,f4h6,f4h6,f4h6,True True True,False False False
0WhEZ,d5c6,g5h6,g5h6,g5h6,True True True,False False False
0Efwt,c5c8,e5h8,e5h8,e5h8,True True True,False False False
0InOi,d1d6,f7g8,f7g8,f7g8,True True True,False False False
05hfp,g4f2,g4h6,g4h6,g4h6,True True True,False False False
0WuNE,c6e6,c6e8,c6e8,c6e8,True True True,False False False
00Ozz,e1e8,f7g8,f7g8,f7g8,True True True,False False False
087QQ,f3d3,g8h8,g8h8,g8h8,True True True,False False False
0Vha7,e4d6,b5c6,b5c6,b5c6,True True True,False False False
0EkWm,d2h2,f8g6,f8d7,f8d7,True True True,False False False
0PsVA,c1h1,e5h8,e5h8,e5h8,True True True,False False False
0NpI9,h6g7,h6h8,h6h8,h6h8,True True True,False False False
0Y8FO,g2g3,e3a7,e3a7,e3a7,True True True,False False False
06qEz,d3d8,b5c7,b5c7,b5c7,True True True,False False False
0LQjN,b8b5,c3d5,c3d5,c3d5,True True True,False False False
00ns1,f4f1,f4f7,f4f7,f4f7,True True True,False False False
05cho,g3g7,f6h8,f6h8,f6h8,True True True,False False False
00n6z,h8h4,h8g8,h8g8,h8g8,True True True,False False False
0EK6e,e2e6,f6g7,f6g7,f6g7,True True True,False False False
07cjT,b5e2,g8h8,f8h8,g8h8,True False True,False False False
0GkCQ,e5g5,f6h8,f6h8,f6h8,True True True,False False False
0JKDh,d7b5,d7e8,d7e8,d7e8,True True True,False False False
0Dyx2,e8h8,e8h8,e8h8,e8h8,True True True,True True True



# Quitado de contexto lo de valid moves y history (en system) pero se lo pasaba despues en la query
