puzzleId,datasetMove,gpt0-move,gpt1-move,gpt2-move,gpt-results
040x1,h4d8,h4h8,h4h8,h4h8,False False False
0N6mX,f4h6,f6g8,f6g8,f6e8,False False False
0KDAM,f6h8,g6h8,g6h8,g6h8,False False False
0VhtY,e7e3,e7e3,e7e3,e7e3,True True True
0CDws,f7f4,f7f8,f7f8,f7f8,False False False
07D6Y,d1h5,d1h5,d1h5,d1g4,True True False
0884u,c5f8,c5f8,g5f7,c5f8,True False True
076nr,h4f2,h4f2,h4f2,h4f2,True True True
0JTjq,g4g5,b7b8,b7b8,b7b8,False False False
0FcsQ,c1e1,c1e1,c1e1,c1e1,True True True
0UExY,b8g8,b8g8,b8g8,b8g8,True True True
0R0hX,h6f7,h6g8,h6g8,h6g8,False False False
0XFYj,d8d1,d8d1,d8d1,d8d1,True True True
0Rb46,e6e4,d8d7,d8d7,d8d7,False False False
03pZy,h3h7,h3h7,h3h7,e5f7,True True False
0GVJY,c1g1,c1h1,c1h1,c1h1,False False False
08gHY,a5e1,d5e4,d5e4,d5e4,False False False
0ReXO,e2e1,e2e1,f3f2,f3f2,True False False
0T6As,e7d6,e7e8,e7e8,e7e8,False False False
0N2Fu,c3b2,c3b2,c3b2,c3b2,True True True
0HLTw,f4f5,f4f7,f4f8,f4f8,False False False
0WDC1,f8f1,e8e1,e8f8,e8f8,False False False
0LGf4,e2d1,e2e1,e2e1,e2e1,False False False
06EU4,a3a6,c6a7,c6d8,a3a7,False False False
08dbu,c6g2,c6g2,h7h6,h7h6,True False False
08d4y,b2e2,,b2b1,b2e2,False False True
0FimY,e2f1q,e2f1q,e2f1q,e2f1q,True True True
0D9Gr,g3g7,g3g7,g3g7,g3g7,True True True
0WhEZ,d5c6,g5e7,g5e7,g5e7,False False False
0Efwt,c5c8,e5h8,e5h8,e5h8,False False False
0InOi,d1d6,f7e8,f7e8,f7e8,False False False
05hfp,g4f2,g4h2,g4h2,g4h2,False False False
0WuNE,c6e6,c6e8,c6e8,c6e8,False False False
00Ozz,e1e8,f7e8,f7e8,f7e8,False False False
087QQ,f3d3,f3e2,f3c3,f3e2,False False False
0Vha7,e4d6,e4f6,e4f6,e4f6,False False False
0EkWm,d2h2,h4h2,h4h2,h4h2,True True True
0PsVA,c1h1,c1h1,c1h1,e5h2,True True False
0NpI9,h6g7,h6h8,h6h8,h6h8,False False False
0Y8FO,g2g3,g2h3,e1g1,g2h3,False False False
06qEz,d3d8,d3d8,d3d8,d3d8,True True True
0LQjN,b8b5,b8c7,b8c7,b8c7,False False False
00ns1,f4f1,f4f1,f4f1,f4f1,True True True
05cho,g3g7,f6h8,f6h8,f6h8,False False False
00n6z,h8h4,f2g3,f2g1,f2g3,False False False
0EK6e,e2e6,e2e8,e2e8,e2e8,False False False
07cjT,b5e2,b2d2,b2d2,b2d2,False False False
0GkCQ,e5g5,f6g7,f6g7,f6g7,False False False
0JKDh,d7b5,d7a4,g2g1,g2g1,False False False
0Dyx2,e8h8,e8h8,e8e7,e8h8,True False True
