puzzleId,datasetMove,gpt0-move,gpt1-move,gpt2-move,gpt-valids,gpt-results
040x1,h4d8,h4h8,h4h8,h4h8,True True True,False False False
0N6mX,f4h6,f4h6,f4h6,f4h6,True True True,True True True
0KDAM,f6h8,d3h7,d3h7,d3h7,False False False,False False False
0VhtY,e7e3,c8h3,c8h3,c8h3,True True True,False False False
0CDws,f7f4,f7f8,f7f8,f7f8,True True True,False False False
07D6Y,d1h5,d1h5,d1h5,d1h5,True True True,True True True
0884u,c5f8,c5f8,c5f8,c5f8,True True True,True True True
076nr,h4f2,h4h3,h4h3,h4h3,True True True,False False False
0JTjq,g4g5,c5f8,c5f8,c5f8,True True True,False False False
0FcsQ,c1e1,d8d1,d8d1,d8d1,True True True,False False False
0UExY,b8g8,b3g8,b3g8,b3g8,True True True,False False False
0R0hX,h6f7,h6g8,h6g8,h6g8,True True True,False False False
0XFYj,d8d1,d8d1,d8d1,d8d1,True True True,True True True
0Rb46,e6e4,e6e1,e6e1,e6e1,False False False,False False False
03pZy,h3h7,h3h7,h3h7,h3h7,True True True,True True True
0GVJY,c1g1,c1h1,c1h1,c1h1,True True True,False False False
08gHY,a5e1,a5d2,a5d2,a5d2,True True True,False False False
0ReXO,e2e1,e2e1,e2e1,e2e1,True True True,True True True
0T6As,e7d6,e7h4,e7h4,e7h4,True True True,False False False
0N2Fu,c3b2,c3f6,c3f6,c3f6,True True True,False False False
0HLTw,f4f5,f4f8,f4f8,f4f8,True True True,False False False
0WDC1,f8f1,f8f1,f8f1,f8f1,True True True,True True True
0LGf4,e2d1,e2f1,e2f1,e2f1,True True True,False False False
06EU4,a3a6,a3a7,a3a7,a3a7,True True True,False False False
08dbu,c6g2,c6g2,c6g2,c6g2,True True True,True True True
08d4y,b2e2,h5f3,h5f3,h5f3,True True True,False False False
0FimY,e2f1q,c2c1,c2c1,c2c1,True True True,False False False
0D9Gr,g3g7,g3g7,g3g7,g3g7,True True True,True True True
0WhEZ,d5c6,g5h6,g5h6,g5h6,True True True,False False False
0Efwt,c5c8,e5h8,e5h8,e5h8,True True True,False False False
0InOi,d1d6,f7f8,f7f8,f7f8,True True True,False False False
05hfp,g4f2,g4h2,g4h2,g4h2,True True True,False False False
0WuNE,c6e6,f3f8,f3f8,f3f8,True True True,False False False
00Ozz,e1e8,e1e8,e1e8,e1e8,True True True,True True True
087QQ,f3d3,f3h1,f3h1,f3h1,True True True,False False False
0Vha7,e4d6,f3g5,f3g5,f3g5,True True True,False False False
0EkWm,d2h2,h4h2,h4h2,h4h2,True True True,True True True
0PsVA,c1h1,e5h8,e5h8,e5h8,True True True,False False False
0NpI9,h6g7,h6h8,h6h8,h6h8,True True True,False False False
0Y8FO,g2g3,e3h6,e3h6,e3h6,True True True,False False False
06qEz,d3d8,d3d8,d3d8,d3d8,True True True,True True True
0LQjN,b8b5,c3d5,c3d5,c3d5,True True True,False False False
00ns1,f4f1,f4f1,f4f1,f4f1,True True True,True True True
05cho,g3g7,g3g7,g3g7,g3g7,True True True,True True True
00n6z,h8h4,h8h4,h8h4,h8h4,True True True,True True True
0EK6e,e2e6,e2h2,e2h2,e2h2,True True True,False False False
07cjT,b5e2,b5f1,b5f1,b5f1,True True True,False False False
0GkCQ,e5g5,f6h8,f6h8,f6h8,True True True,False False False
0JKDh,d7b5,d7h3,d7h3,d7h3,True True True,False False False
0Dyx2,e8h8,g7g1,g7g1,g7g1,True True True,False False False
